,Numero Contratti,Volume Ultimo,Volume totale,Prezzo ufficiale,Rendimento effettivo a scadenza netto,Rendimento effettivo a scadenza lordo,Duration modificata,Scadenza,Tasso Cedola su base Annua,anni_scadenza,median_monthly_volume_million,min_monthly_volume_million,max_monthly_volume_million,ratings
IT0005654626,8.0,1000.0,32000.0,102.65,2.49,3.48,9.6,2038-06-09,6.0,12.83,7.24,1.31,33.36,81
ES0000012K95,12.0,6000.0,127000.0,95.02807,3.41,3.86,13.03,2043-07-30,3.45,17.97,7.1,2.39,10.84,81
ES0000012I08,10.0,20000.0,190000.0,94.9362,2.12,2.12,2.41,2028-01-31,,2.47,7.05,2.43,12.29,81
IT0005621450,0.0,0.0,0.0,102.7568,2.82,3.89,0.96,2037-11-15,4.85,12.26,7.01,0.67,62.38,81
XS2689948078,20.0,32000.0,414000.0,105.97654,4.67,5.44,5.96,2033-09-18,6.375,8.1,6.83,2.18,14.43,81
FR001400H7V7,13.0,108000.0,238000.0,99.13995,2.76,3.14,6.8,2033-05-25,3.0,7.78,6.76,2.94,16.72,81
ES0000012J15,9.0,2000.0,44000.0,97.0384,2.04,2.04,1.44,2027-01-31,,1.47,6.72,3.08,18.74,80
XS2971937672,23.0,2000.0,261000.0,100.78286,4.23,4.83,10.03,2040-03-22,4.875,14.61,6.69,3.35,10.17,80
XS2908644615,16.0,1000.0,152000.0,100.85451,4.33,4.97,4.93,2031-09-24,5.125,6.12,6.65,0.2,11.48,80
EU000A3LT492,32.0,4000.0,391000.0,97.91065,2.8,3.19,10.77,2039-02-15,3.0,13.52,6.64,1.74,10.65,80
